Geneid	SRR11047173	SRR11047174	SRR11047175	SRR11047176
AT3G43270	2.392011	1.975514	2.915953	3.204431
AT3G43280	0.000000	0.000000	0.000000	0.000000
AT3G43290	0.000000	0.000000	0.000000	0.000000
AT3G43291	0.000000	0.000000	0.000000	0.000000
AT3G43300	12.479289	11.185098	11.812945	10.723286
AT3G43340	0.000000	0.000000	0.000000	0.000000
AT3G43400	0.000000	0.000000	0.000000	0.000000
AT3G43410	0.000000	0.000000	0.000000	0.000000
AT3G43415	0.000000	0.000000	0.000000	0.000000
AT3G43420	0.000000	0.000000	0.000000	0.000000
AT3G43430	1.334162	2.044161	3.420295	1.414952
AT3G43432	0.000000	0.000000	0.000000	0.000000
AT3G43440	6.393359	6.212265	6.464855	6.745165
AT3G43470	0.000000	0.000000	0.000000	0.000000
AT3G43480	0.000000	0.000000	0.000000	0.000000
AT3G43490	0.000000	0.000000	0.000000	0.000000
AT3G43500	0.000000	0.000000	0.000000	0.000000
AT3G43503	0.000000	0.000000	0.000000	0.000000
AT3G43505	0.000000	0.000000	0.000000	0.000000
AT3G43520	62.570309	60.346024	60.952648	53.508408
AT3G43540	33.453320	35.067841	32.035690	39.205631
AT3G43550	0.000000	0.000000	0.000000	0.000000
AT3G43570	0.000000	0.000000	0.000000	0.000000
AT3G43572	0.000000	0.000000	0.000000	0.000000
AT3G43574	0.000000	0.000000	0.000000	0.000000
AT3G43580	0.490755	1.418939	1.249634	0.641342
AT3G43583	0.000000	0.000000	0.000000	0.000000
AT3G43590	9.554387	10.618840	11.433497	9.995706
AT3G43600	2.906985	2.982716	4.127706	3.273819
AT3G43610	5.179349	5.833884	7.003033	6.192403
AT3G43630	0.000000	0.000000	0.000000	0.000000
AT3G43645	0.000000	0.000000	0.000000	0.000000
AT3G43660	0.000000	0.000000	0.000000	0.000000
AT3G43670	21.585430	16.352081	17.750904	17.111734
AT3G43682	0.000000	0.000000	0.000000	0.000000
AT3G43700	3.364026	3.877278	4.059347	3.840196
AT3G43710	0.000000	0.000000	0.000000	0.000000
AT3G43720	45.277870	37.186199	28.888990	28.022852
AT3G43740	26.253210	29.179199	29.739489	26.885273
AT3G43750	0.000000	0.000000	0.000000	0.000000
AT3G43790	1.644799	1.282001	1.110577	1.118386
AT3G43800	29.202616	29.770401	20.235584	21.257385
AT3G43810	80.077026	93.324936	84.632858	69.422562
AT3G43833	0.000000	0.000000	0.000000	0.000000
AT3G43837	0.000000	0.000000	0.000000	0.000000
AT3G43840	0.000000	0.272597	0.737228	0.317851
AT3G43850	0.696434	0.000000	0.448554	1.307687
AT3G43860	0.000000	0.000000	0.000000	0.000000
AT3G43870	0.000000	0.000000	0.000000	0.000000
AT3G43880	0.000000	0.000000	0.000000	0.000000
AT3G43890	0.000000	0.000000	0.000000	0.000000
AT3G43910	0.000000	0.000000	0.000000	0.000000
AT3G43920	0.485020	0.823254	0.961934	0.950630
AT3G43930	0.000000	0.000000	0.000000	0.000000
AT3G43940	0.000000	0.000000	0.000000	0.000000
AT3G43950	0.000000	0.000000	0.000000	0.000000
AT3G43960	7.479659	5.007380	7.892187	6.376966
AT3G43970	0.000000	0.000000	0.000000	0.000000
AT3G43980	25.844257	40.447769	38.687866	27.604353
AT3G43990	0.000000	0.000000	0.000000	0.000000
AT3G44006	0.000000	0.000000	0.000000	0.000000
AT3G44010	153.918579	246.305267	244.766998	187.083908
AT3G44020	42.386917	39.954895	34.371319	40.558640
AT3G44050	0.355363	0.844811	1.780698	0.563448
AT3G44060	0.000000	0.000000	0.000000	0.000000
AT3G44070	0.000000	0.000000	0.000000	0.000000
AT3G44080	0.000000	0.000000	0.000000	0.000000
AT3G44090	0.000000	0.000000	0.000000	0.000000
AT3G44100	58.947147	60.109528	62.958092	63.105213
AT3G44110	124.376183	118.235191	125.470695	105.816467
AT3G44115	0.000000	0.000000	0.000000	0.000000
AT3G44120	0.767054	0.986337	0.990481	1.277357
AT3G44130	0.000000	0.000000	0.000000	0.000000
AT3G44140	0.000000	0.000000	0.000000	0.000000
AT3G44150	15.248625	18.008547	25.686560	17.871052
AT3G44160	10.052838	10.254645	10.018568	10.533128
AT3G44170	0.000000	0.000000	0.000000	0.000000
AT3G44180	0.000000	0.000000	0.000000	0.000000
AT3G44190	9.592936	12.163208	9.005326	7.858050
AT3G44200	6.651311	4.934229	3.949627	3.647866
AT3G44210	0.000000	0.000000	0.000000	0.000000
AT3G44220	1.021657	2.053746	1.147450	1.322492
AT3G44230	0.000000	0.000000	0.000000	0.000000
AT3G44235	0.000000	0.000000	0.000000	0.000000
AT3G44240	0.000000	0.000000	0.000000	0.000000
AT3G44250	0.000000	0.000000	0.000000	0.000000
AT3G44260	7.149164	13.850823	10.658460	10.610940
AT3G44261	0.000000	0.000000	0.000000	0.000000
AT3G44265	0.000000	0.000000	0.000000	0.000000
AT3G44280	15.547725	14.948977	13.938451	14.370781
AT3G44290	0.000000	0.000000	0.000000	0.000000
AT3G44300	24.022858	3.372531	6.082620	4.733377
AT3G44310	632.982544	484.167511	438.570831	402.845490
AT3G44320	5.181780	3.706123	3.817688	3.594043
AT3G44326	0.000000	0.000000	0.000000	0.000000
AT3G44330	14.973598	18.119667	20.463062	18.253641
AT3G44340	14.929482	13.101303	14.575655	13.845639
AT3G44350	0.254897	16.013256	0.000000	0.263383
AT3G44370	5.771633	4.332576	5.150626	4.680357
AT3G44380	6.697762	9.286628	8.677759	8.110202
AT3G44400	1.995811	2.838376	1.728113	1.414195
AT3G44405	0.000000	0.187684	0.000000	0.000000
AT3G44428	0.000000	0.000000	0.000000	0.000000
AT3G44430	17.931635	19.223906	19.151432	18.239738
AT3G44435	0.000000	0.000000	0.000000	0.000000
AT3G44440	0.582758	0.427963	0.205751	0.700116
AT3G44444	0.000000	0.000000	0.000000	0.000000
AT3G44450	17.241091	20.236593	8.429923	12.987811
AT3G44460	0.000000	0.000000	0.000000	0.000000
AT3G44480	14.513700	13.308913	15.095960	14.660383
AT3G44485	0.000000	0.000000	0.000000	0.000000
AT3G44490	0.000000	0.000000	0.000000	0.000000
AT3G44510	0.000000	0.000000	0.000000	0.000000
AT3G44530	2.726763	2.775189	3.407603	2.883697
AT3G44540	0.000000	0.000000	0.000000	0.000000
AT3G44550	0.000000	0.000000	0.272072	1.046086
AT3G44555	0.000000	0.000000	0.000000	0.000000
AT3G44560	0.000000	0.000000	0.000000	0.000000
AT3G44570	0.000000	0.000000	0.000000	0.000000
AT3G44580	0.000000	0.000000	0.254110	0.000000
AT3G44590	14.895321	32.094452	31.897068	19.590647
AT3G44600	9.658998	10.558937	13.515421	11.210010
AT3G44610	6.250749	4.627257	5.665745	4.727879
AT3G44620	36.250893	37.440662	32.973351	38.056355
AT3G44630	14.438130	16.156504	14.438927	17.351240
AT3G44635	0.000000	0.000000	0.000000	0.000000
AT3G44660	0.000000	0.000000	0.000000	0.000000
AT3G44665	0.000000	0.000000	0.000000	0.000000
AT3G44670	19.256474	18.182339	19.223867	22.128550
AT3G44680	8.838923	8.836047	8.331845	9.810056
AT3G44690	0.833344	0.906651	1.384254	0.928874
AT3G44695	0.000000	0.000000	0.000000	0.000000
AT3G44700	0.000000	0.000000	0.000000	0.197816
AT3G44703	0.000000	0.000000	0.000000	0.000000
AT3G44704	0.000000	0.000000	0.000000	0.000000
AT3G44710	0.000000	0.000000	0.000000	0.000000
AT3G44713	0.410490	0.606934	0.708089	0.606227
AT3G44716	1.778735	2.360107	3.812167	2.265322
AT3G44718	0.000000	0.000000	0.000000	0.000000
AT3G44720	9.575096	21.406134	16.709175	15.136434
AT3G44730	1.202295	1.912643	1.443264	0.857716
AT3G44735	35.135910	31.085457	21.776316	21.431793
AT3G44740	4.095649	5.282756	6.314898	5.241316
AT3G44750	19.072588	54.957230	61.159172	27.852571
AT3G44753	0.508779	0.343555	0.221750	0.184521
AT3G44755	0.000000	0.000000	0.000000	0.000000
AT3G44760	0.000000	0.000000	0.000000	0.000000
AT3G44763	0.000000	0.000000	0.000000	0.000000
AT3G44765	0.000000	0.000000	0.181481	0.000000
AT3G44766	0.000000	0.000000	0.000000	0.000000
AT3G44769	0.000000	0.000000	0.434354	0.000000
AT3G44770	0.186380	0.342916	0.568922	0.282668
AT3G44780	0.000000	0.000000	0.000000	0.000000
AT3G44785	0.000000	0.000000	0.000000	0.000000
AT3G44790	0.279862	0.709997	0.908175	0.527338
AT3G44798	8.707101	11.683923	10.370522	11.432125
AT3G44800	0.207506	0.292122	0.500200	0.191982
AT3G44805	0.851935	0.409086	0.250238	0.306248
AT3G44810	0.000000	0.000000	0.000000	0.000000
AT3G44820	4.814626	4.457356	2.845706	2.579160
AT3G44830	0.000000	0.000000	0.000000	0.000000
AT3G44840	0.000000	0.000000	0.000000	0.000000
AT3G44850	4.771840	5.169228	5.391755	4.418100
AT3G44860	32.395195	22.727226	29.511652	36.035137
AT3G44870	0.000000	0.000000	0.000000	0.000000
AT3G44880	31.769777	32.169971	29.799809	30.043215
AT3G44890	123.617706	202.491013	183.719742	173.894104
AT3G44900	0.000000	0.593371	0.281314	0.000000
AT3G44910	0.000000	0.000000	0.000000	0.000000
AT3G44920	0.000000	0.000000	0.000000	0.000000
AT3G44930	0.000000	0.000000	0.000000	0.000000
AT3G44935	0.000000	0.000000	0.000000	0.000000
AT3G44940	1.615249	2.536420	3.310122	2.462965
AT3G44950	0.000000	0.410448	0.215323	0.188598
AT3G44955	0.000000	0.000000	0.000000	0.000000
AT3G44960	0.931065	1.511528	2.004257	1.794483
