task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	f8/d8506a	435	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR11047176)	COMPLETED	0	2026-05-19 05:05:41.735	2m 24s	2m 23s	233.4%	3.4 GB	4 GB	9.1 GB	7 GB
29	62/02d621	486	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR11047175)	COMPLETED	0	2026-05-19 05:08:06.046	2m 27s	2m 26s	237.7%	3.4 GB	4 GB	9.5 GB	7.3 GB
30	46/17bb96	536	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR11047173)	COMPLETED	0	2026-05-19 05:10:33.470	2m 15s	2m 14s	236.7%	3.4 GB	4.2 GB	8.6 GB	6.6 GB
31	8e/ab1811	585	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR11047174)	COMPLETED	0	2026-05-19 05:12:48.869	1m 49s	1m 48s	33.3%	8.5 MB	228.1 MB	1.5 GB	288.1 KB
32	18/547edf	632	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR11047176)	COMPLETED	0	2026-05-19 05:14:38.216	1m 58s	1m 57s	32.2%	8.5 MB	292.1 MB	1.5 GB	280.7 KB
37	17/131941	663	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR11047174)	COMPLETED	0	2026-05-19 05:14:39.247	1m 59s	1m 58s	31.5%	6.8 MB	220.1 MB	1.5 GB	3.1 KB
36	19/4de6c0	758	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR11047174)	COMPLETED	0	2026-05-19 05:16:38.145	973ms	104ms	66.7%	6.9 MB	11.9 MB	440.8 KB	2.7 KB
35	ee/081409	804	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR11047174)	COMPLETED	0	2026-05-19 05:16:39.152	1m 59s	1m 58s	104.0%	8 MB	221.6 MB	1.5 GB	106.6 KB
33	0b/d88eb4	714	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR11047175)	COMPLETED	0	2026-05-19 05:16:36.175	2m 4s	2m 3s	31.3%	8.6 MB	231.2 MB	1.6 GB	285.5 KB
34	75/0889ee	902	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR11047173)	COMPLETED	0	2026-05-19 05:18:40.323	1m 46s	1m 45s	32.1%	8.5 MB	231.1 MB	1.4 GB	270.1 KB
39	6f/49c97f	945	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR11047176)	COMPLETED	0	2026-05-19 05:20:26.436	1.1s	80ms	53.3%	3.2 MB	4.6 MB	433.4 KB	2.7 KB
41	27/4172b0	1055	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR11047175)	COMPLETED	0	2026-05-19 05:20:27.526	1.1s	86ms	65.8%	6.8 MB	11.9 MB	438.2 KB	2.7 KB
40	97/e2aae9	856	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR11047176)	COMPLETED	0	2026-05-19 05:18:38.257	1m 56s	1m 55s	31.4%	6.6 MB	220.1 MB	1.5 GB	3.1 KB
38	59/fed29a	956	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR11047176)	COMPLETED	0	2026-05-19 05:20:26.466	2m 34s	2m 33s	81.9%	8 MB	221.6 MB	1.5 GB	105.9 KB
42	03/22b972	1101	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR11047175)	COMPLETED	0	2026-05-19 05:20:28.634	2m 41s	2m 40s	24.6%	6.2 MB	220.1 MB	1.6 GB	3.1 KB
46	d5/9c5f6b	1245	NFCORE_RNASEQ:RNASEQ:FASTQ_ALIGN_HISAT2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR11047173)	COMPLETED	0	2026-05-19 05:23:10.100	1.3s	90ms	46.0%	6.6 MB	11.9 MB	422.8 KB	2.7 KB
